#achievement,,,,,
#columns,id,action,points,title,parameter
1,0,0,10,1,1|1
2,1,0,20,2,1|10
3,2,0,50,3,1|50
4,3,0,100,4,1|100
5,4,0,200,5,1|500
6,5,0,300,6,1|1000
7,6,0,10,7,2|1
8,7,0,20,8,2|10
9,8,0,50,9,2|50
10,9,0,100,10,2|100
11,10,0,200,11,2|500
12,11,0,300,12,2|1000
13,12,0,10,13,3|1
14,13,0,20,14,3|10
15,14,0,50,15,3|50
16,15,0,100,16,3|100
17,16,0,200,17,3|500
18,17,0,300,18,3|1000
19,18,0,10,19,4|1
20,19,0,20,20,4|10
21,20,0,50,21,4|50
22,21,0,100,22,4|100
23,22,0,200,23,4|500
24,23,0,300,24,4|1000
25,24,0,10,25,5|1
26,25,0,20,26,5|10
27,26,0,50,27,5|50
28,27,0,100,28,5|100
29,28,0,200,29,5|500
30,29,0,300,30,5|1000
31,30,0,10,31,6|1
32,31,0,20,32,6|10
33,32,0,50,33,6|50
34,33,0,100,34,6|100
35,34,0,200,35,6|500
36,35,0,300,36,6|1000
37,36,0,10,37,7|1
38,37,0,20,38,7|10
39,38,0,50,39,7|50
40,39,0,100,40,7|100
41,40,0,200,41,7|500
42,41,0,300,42,7|1000
43,42,0,10,43,8|1
44,43,0,20,44,8|10
45,44,0,50,45,8|50
46,45,0,100,46,8|100
47,46,0,200,47,8|500
48,47,0,300,48,8|1000
49,48,0,10,49,9|1
50,49,0,20,50,9|10
51,50,0,50,51,9|50
52,51,0,100,52,9|100
53,52,0,200,53,9|500
54,53,0,300,54,9|1000
55,54,0,10,55,10|1
56,55,0,20,56,10|10
57,56,0,50,57,10|50
58,57,0,100,58,10|100
59,58,0,200,59,10|500
60,59,0,300,60,10|1000
